au_id,au_tl,au_ar,au_sh,sh_ar,date,cit,bio,incrp
1,Abū al-Ḥasan ʿAlī b. Aḥmad b. Muḥammad b. ʿAlī al-Wāḥidī al-Nīsābūrī al-Shāfiʿī,"أبو الحسن علي بن أحمد بن محمد بن علي الواحدي، النيسابوري، الشافعي (ت ٤٦٨هـ)",al-Wāḥidī,الواحدي,468,-,-,-
2,Abū Muḥammad ʿAlī b. Aḥmad b. Saʿīd b. Ḥazm al-Andalusī al-Qurṭubī al-Ẓāhirī,أبو محمد علي بن أحمد بن سعيد بن حزم الأندلسي القرطبي الظاهري (ت ٤٥٦هـ),Ibn Ḥazm,ابن حزم,456,-,-,-
3,ʿImād al-Dīn Ismāʿīl b. ʿUmar Ibn Kathīr al-Dimashqī,عماد الدين إسماعيل بن عمر ابن كثير الدمشقي (ت ٧٧٤ هـ),Ibn Kathīr,ابن كثير,774,-,-,-
4,Muḥyī al-Sunna Abū Muḥammad al-Ḥusayn b. Masʿūd b. Muḥammad b. al-Farrāʾ al-Baghawī al-Shāfiʿī,"محيي السنة، أبو محمد الحسين بن مسعود بن محمد بن الفراء البغوي الشافعي (ت ٥١٦هـ)","al-Baghawī, Abū Muḥammad","البغوي، أبو محمد",516,-,-,-
5,Abū ʿUbayda Maʿmar b. al-Muthannā,أبو عبيدة معمر بن المثنى (برواية اليزيدي عن السكري عن ابن حبيب عنه),Abū ʿUbayda Maʿmar b. al-Muthannā,أبو عبيدة معمر بن المثنى,209,-,-,-
6,Zakariyyā b. Muḥammad b. Zakariyyā al-Anṣārī Zayn al-Dīn Abū Yaḥyā al-Sunaykī,"زكريا بن محمد بن زكريا الأنصاري، زين الدين أبو يحيى السنيكي (ت ٩٢٦هـ)",Zakariyyā al-Anṣārī,زكريا الأنصاري,926,-,-,-
7,Jalāl al-Dīn al-Suyūṭī,جلال الدين السيوطي (ت: ٩١١ هـ),al-Jalāl al-Suyūṭī,الجلال السيوطي,911,-,-,-
10,Abū Ṭāhir Ismāʿīl b. Khalaf b. Saʿīd al-Muqriʾ al-Anṣārī al-Saraqusṭī,أبو طاهر إسماعيل بن خلف بن سعيد المقرئ الأنصاري السرقسطي (ت ٤٥٥هـ),Ibn Khalaf al-Muqriʾ,ابن خلف المقرئ,455,-,-,-
14,Shams al-Dīn Muḥammad b. Abī Bakr Ibn Qayyim al-Jawziyya,شمس الدين محمد بن أبي بكر ابن قيم الجوزية (٦٩١,Ibn al-Qayyim,ابن القيم,751,-,-,-
15,Muḥammad b. al-Ṭayyib b. Muḥammad b. Jaʿfar b. al-Qāsim Abū Bakr al-Bāqillānī al-Mālikī,"محمد بن الطيب بن محمد بن جعفر بن القاسم، القاضي أبو بكر الباقلاني المالكي (ت ٤٠٣هـ)",al-Bāqillānī,الباقلاني,403,-,-,-
