text_id,title_tl,title_ar,au_id_id,genre_id,perm,permbib,pdf,pg_rng,word_len,collection,contrib
1,al-Fawākih al-ʿIdhāb fī al-Radd ʿalā man lam Yuḥakkim al-Sunna wa-al-Kitāb,الفواكه العذاب في الرد على من لم يحكم السنة والكتاب,513,العقيدة,-,"عبد السلام بن برجس بن ناصر العبد الكريم :: دار العاصمة الأولى، ١٤٠٧ هـ",-,90,14574,MaktabaShamelaAM,A. Musto
102,al-Bahja al-Wafiyya bi-Ḥujjat al-Khulāṣa al-Alfiyya,البهجة الوفية بحجة الخلاصة الألفية,651,النحو والصرف,-,"حمزة مصطفى حسن أبو توهة :: دار الكتب العلمية، بيروت - لبنان الأولى، ١٤٣٨ هـ - ٢٠١٧ م",-,754,103696,MaktabaShamelaAM,A. Musto
105,al-Wafiyya bi-Ikhtiṣār al-Alfiyya,الوفية باختصار الألفية,7,النحو والصرف,-,"حمزة مصطفى حسن أبو توهة :: مؤسسة «عِلْم» لإحياء التراث والخدمات الرقمية الأولى، ٢٠١٩ م - ١٤٤٠ هـ",-,90,12439,MaktabaShamelaAM,A. Musto
106,Bughyat al-Rāʾid li-mā Taḍammanahu Ḥadīth Umm Zarʿ min al-Fawāʾid ed. al-Dasūqī,بغية الرائد لما تضمنه حديث أم زرع من الفوائد ت الدسوقي,662,شروح الحديث,-,"أبو داود أيمن بن حامد بن نصير الدسوقي :: دار الذخائر الأولى، ١٤٣٩ هـ - ٢٠١٨ م",-,353,35567,MaktabaShamelaAM,A. Musto
112,Dhayl Ibn al-ʿIrāqī ʿalā al-ʿIbar,ذيل ابن العراقي على العبر,253,التراجم والطبقات,-,"صالح مهدي عباس :: مؤسة الرسالة - بيروت الأولي، ١٤٠٩ هـ - ١٩٨٩ م",-,551,53293,MaktabaShamelaAM,A. Musto
115,Aṣl al-Zarārī Sharḥ Ṣaḥīḥ al-Bukhārī - Makhṭūṭ,أصل الزراري شرح صحيح البخاري - مخطوط,3127,شروح الحديث,-,":: عطاءات العلم - موسوعة صحيح البخاري،  https://bukhari-pedia.net",-,750,755533,MaktabaShamelaAM,A. Musto
121,Ijmāʿ al-Salaf fī al-Iʿtiqād ka-mā Ḥakāhu Ḥarb al-Kirmānī,إجماع السلف في الاعتقاد كما حكاه حرب الكرماني,1198,العقيدة,-,"أسعد بن فتحي الزعتري :: دار الإمام أحمد، القاهرة - جمهورية مصر العربية الأولى، ١٤٣٢ هـ - ٢٠١١ م",-,107,7607,MaktabaShamelaAM,A. Musto
122,"al-Amākin, mā Ittafaqa Lafẓuhu wa-Iftaraqa Musammāhu","الأماكن، ما اتفق لفظه وافترق مسماه",465,البلدان والرحلات,-,حمد بن محمد الجاسر :: دار اليمامة للبحث والترجمة والنشر,-,871,62626,MaktabaShamelaAM,A. Musto
125,al-Kawkab al-Munīr fī Sharḥ al-Alfiyya bi-al-Tashṭīr,الكوكب المنير في شرح الألفية بالتشطير,3073,النحو والصرف,-,"حمزة مصطفى أبو توهة :: أروقة للطباعة والنشر الأولى، ١٤٤١ هـ - ٢٠١٩ م",-,194,29132,MaktabaShamelaAM,A. Musto
130,al-Ightibāṭ bi-man Rumiya min al-Ruwāt bi-al-Ikhtilāṭ,الاغتباط بمن رمي من الرواة بالاختلاط,361,التراجم والطبقات,-,"علاء الدين علي رضا، وسمى تحقيقه (نهاية الاغتباط بمن رمي من الرواة بالاختلاط) وهو دارسة وتحقيق وزيادات في التراجم على الكتاب :: دار الحديث - القاهرة الأولى، ١٩٨٨م",-,129,5204,MaktabaShamelaAM,A. Musto
